Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Title Characters,SEO Description,CONTENT (product.metafields.custom.content),GSM (product.metafields.custom.gsm),Description Characters,KNIT STYLE (product.metafields.custom.knit_style),OUNCE (product.metafields.custom.ounce),SHADE (product.metafields.custom.shade),Sustainable Blends (product.metafields.custom.sustainable_blends),FABRIC (product.metafields.custom.type),USAGE (product.metafields.custom.usage),WIDTH (product.metafields.custom.width),Folder (product.metafields.custom.folder),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cotton-spandex-3x1-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1LFI6K-3uB_nCUS_CVhxyGkkBUgUGD6uJ,2,Cotton Spandex 3x1 Rib,,,,,,,,,,,,,,,,,,,,,,,,
cotton-spandex-3x1-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1jia7mUwTE3zQgHnhGtlitU6iEHtku3Oo,3,Cotton Spandex 3x1 Rib,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-10,Cotton Jacquard Single Jersey,"<p><span>A medium-weight (190 GSM) 100% cotton single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5516,1000,shopify,7,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1cBIqg30DCoJnNCqCt-QNPGgbTaRcAtKV,1,Cotton Jacquard Single Jersey,FALSE,Beige Cotton Jacquard Jersey Fabric | Texongo,45,"Shop 190 GSM 100% cotton single jersey fabric in beige by Texongo. Soft, breathable and drapey for co-ords, polos, jumpsuits and premium apparel.",100%-COTTON,190,145,SINGLE JERSEY,5.6,BEIGE,,COTTON-JACQUARD-S/J,"T-shirt-,-Jumpsuit-,-Co-ords-,-Polo,",68-inches-/-200-cm,7,,,,,,kg,,,active
cotton-jacquard-single-jersey-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1oP9Rd9nSWrvHAoQU_Y_sPOICIXQuLkD6,2,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1o0FRmlznRaSlqA1BP_fzUaEqie8Mp_po,3,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-11,Cotton Jacquard Single Jersey,"<p><span>A medium-weight (190 GSM) 100% cotton single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5517,1000,shopify,12,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1yfr8UQxE9rDoe_fpy7zVcBrfgJVD3VQm,1,Cotton Jacquard Single Jersey,FALSE,Beige Cotton Jacquard Jersey Fabric | Texongo,45,"Shop 190 GSM 100% cotton single jersey fabric in beige by Texongo. Soft, breathable and drapey for co-ords, polos, jumpsuits and premium apparel.",100%-COTTON,190,145,SINGLE JERSEY,5.6,BEIGE,,COTTON-JACQUARD-S/J,"T-shirt-,-Jumpsuit-,-Co-ords-,-Polo,",68-inches-/-200-cm,7,,,,,,kg,,,active
cotton-jacquard-single-jersey-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1pGnu4jJ26fcqlWZJ3rz76WnnvCuao4l4,2,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1zJs51NG4FGLeZxgo9mZv0XLNvpdKnJqd,3,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
polyester-viscose-rib,Polyester Viscose Rib,"<p><span>A medium-weight (245 GSM) 52% polyester 48% viscose rib fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,TUBE,,TRUE,Title,Default Title,,,,,,,,SCH5519,1000,shopify,32,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=18OR4-Xj3rtx7UeI7FyS2Co9-Uas_cZ13,1,Polyester Viscose Rib,FALSE,Red Polyester Viscose Rib Fabric | Texongo,42,"Shop 245 GSM polyester viscose blend rib fabric in red by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",52%-POLY-48%-VISCOSE,245,142,RIB,7.23,RED,,POLY-VISCOSE-RIB,"Top-,-Dresses,-Joggers,--Skirt,-Co-ords",46-inches-/-135-cm,7,,,,,,kg,,,active
polyester-viscose-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=157rjCVKNdmR4NUmkGlAryC12Tce9ITA8,2,Polyester Viscose Rib,,,,,,,,,,,,,,,,,,,,,,,,
polyester-viscose-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1CywQpdZw6czvm_sXpe2sm79gld-j8Rqy,3,Polyester Viscose Rib,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-interlock-3,Polyester Cotton Jacquard Interlock,"<p><span>A medium-weight (222 GSM) 60% cotton 40% polyester interlock fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5520,1000,shopify,16,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1tSxxRvp4KJyYsouBQc4Guup4y0htOO52,1,Polyester Cotton Jacquard Interlock,FALSE,Poly Cotton Jacquard Interlock Fabric | Texongo,47,"Shop 222 GSM cotton polyester blend interlock fabric in brown cheks by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,222,143,INTERLOCK,6.55,BROWN-CHEKS,,POLY-COTTON-JACQUARD-INTERLOCK,"Tops,-Dresses,-Jupsuit-,-Co-ords-,Joggers",56-inches-/-165-cm,7,,,,,,kg,,,active
polyester-cotton-jacquard-interlock-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1QQA9USld6USnxdR-XIt7X3KluFvhxysY,2,Polyester Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-interlock-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=11bduuAsXhzg5VAFHKXTOr0vW90ng_6Q_,3,Polyester Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-12,Cotton Jacquard Single Jersey,"<p><span>A medium-weight (195 GSM) 100% cotton single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5521,1000,shopify,23,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1zrF9T1qsSNnd_19PI8JN3bxV61y23Yic,1,Cotton Jacquard Single Jersey,FALSE,Beige Cotton Jacquard Jersey Fabric | Texongo,45,"Shop 195 GSM 100% cotton single jersey fabric in beige by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,195,142,SINGLE JERSEY,5.75,BEIGE,,COTTON-JACQUARD-S/J,"Tops,-Co-ords-,-T-shirt-,-Dresses",62-inches-/-182-cm,7,,,,,,kg,,,active
cotton-jacquard-single-jersey-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1vBk-YsmOjSA69kPoMg0C0-Xa62N79yQF,2,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1GUeroyDFpjvfnN8n42SDIOqR3z3SvvkB,3,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-13,Cotton Jacquard Single Jersey,"<p><span>A medium-weight (190 GSM) 100% cotton single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5522,1000,shopify,13,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1l_Wh_suvcI0BXWsnacTNDfCRm6WGpOBf,1,Cotton Jacquard Single Jersey,FALSE,Beige Cotton Jacquard Jersey Fabric | Texongo,45,"Shop 190 GSM 100% cotton single jersey fabric in beige by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,190,142,SINGLE JERSEY,5.6,BEIGE,,COTTON-JACQUARD-S/J,"Tops,-Co-ords-,-T-shirt-,-Dresses",62-inches-/-182-cm,7,,,,,,kg,,,active
cotton-jacquard-single-jersey-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1-K0K_zev468RILzRBcUwnhNJoJSSffFU,2,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-single-jersey-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1j5Y9fFFFmpHrd82BNUaLXGbvpUragTFF,3,Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-interlock-4,Polyester Cotton Jacquard Interlock,"<p><span>A medium-weight (220 GSM) 60% cotton 40% polyester interlock fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5525,1000,shopify,7,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1OYoxFADyb9kpmZlmHeC924VfByEoG9Ah,1,Polyester Cotton Jacquard Interlock,FALSE,Poly Cotton Jacquard Interlock Fabric | Texongo,47,"Shop 220 GSM cotton polyester blend interlock fabric in black by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,220,149,INTERLOCK,6.49,BLACK,,POLY-COTTON-JACQUARD-INTERLOCK,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords-,Joggers",56-inches-/-165-cm,7,,,,,,kg,,,active
polyester-cotton-jacquard-interlock-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1coJ1ezzGDP-CpCXXaCekDVraRuZHdPnR,2,Polyester Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-interlock-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=19VdL_UGmo3OBbIOsDV-t925HqQGktF_m,3,Polyester Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-single-jersey-4,Polyester Cotton Jacquard Single Jersey,"<p><span>A medium-weight (160 GSM) 60% cotton 40% polyester single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5526,1000,shopify,7,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1sgV39zfOai38m5R5tCf1s4NrMaofCuif,1,Polyester Cotton Jacquard Single Jersey,FALSE,Green Poly Cotton Jacquard Jersey Fabric | Texongo,50,"Shop 160 GSM cotton polyester blend single jersey fabric in green by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,160,141,SINGLE JERSEY,4.72,GREEN,,POLY-COTTON-JACQUARD-S/J,"Tops,-Co-ords-,-T-shirt-,-Dresses",66-inches-/-194-cm,7,,,,,,kg,,,active
polyester-cotton-jacquard-single-jersey-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=16GqqIe5Tg0aOCfa-nK42-IriCmbwtPDF,2,Polyester Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-single-jersey-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1cjJoxQJ1fHUrrI0BDg5jJqiWPvimY5lp,3,Polyester Cotton Jacquard Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-interlock,Cotton Jacquard Interlock,"<p><span>A medium-weight (300 GSM) 100% cotton interlock fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5527,1000,shopify,7,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1T2Nmaj4VoRjnzEBrVav8BCl-n7oJAV7Z,1,Cotton Jacquard Interlock,FALSE,Cotton Jacquard Interlock Fabric | Texongo,42,"Shop 300 GSM 100% cotton interlock fabric in pink checks by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,300,144,INTERLOCK,8.85,PINK-CHECKS,,COTTON-JACQUARD-INTERLOCK,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords-,Joggers",56-inches-/-165-cm,7,,,,,,kg,,,active
cotton-jacquard-interlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1HTHUtRXmaG9AIFd0KeduaxWY8dDZ4YX9,2,Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-interlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1Fed2sI0HbtXtaGYPFIHn28vGMwtow-EU,3,Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-interlock-2,Cotton Jacquard Interlock,"<p><span>A medium-weight (320 GSM) 100% cotton interlock fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,TUBE,,TRUE,Title,Default Title,,,,,,,,SCH5528,1000,shopify,6,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1nkvlMFyoUAhNuw4Uax9rvJoL1EhGQ_Cl,1,Cotton Jacquard Interlock,FALSE,Cotton Jacquard Interlock Fabric | Texongo,42,"Shop 320 GSM 100% cotton interlock fabric in black checks by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,320,145,INTERLOCK,9.44,BLACK-CHECKS,,COTTON-JACQUARD-INTERLOCK,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords-,Joggers",46-inches-/-135-cm,7,,,,,,kg,,,active
cotton-jacquard-interlock-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1-NR17-ezNSZChNfMGeSwvxeerhS6bW5k,2,Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-interlock-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1-FeTGekFoSbNQPr0ZrL3-9RVi9knohl9,3,Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-8,Cotton Jacquard,"<p><span>A medium-weight (185 GSM) 100% cotton jacquard fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5531,1000,shopify,14,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1BpZxGvjWMR_ChfU78KJO75RuPXch7EbQ,1,Cotton Jacquard,FALSE,Cotton Jacquard 185 GSM Fabric | Texongo,40,"Shop 185 GSM 100% cotton jacquard fabric in black by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-COTTON,185,144,JACQUARD,5.46,BLACK,,COTTON-JACQUARD,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords",66-inches-/-194-cm,7,,,,,,kg,,,active
cotton-jacquard-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=16JhofhQmXPaWFC3Kjc96H4Ako7uj1rs6,2,Cotton Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=12sXk_BkTTBsCnr10Zqc8G6MZiAcc4M3H,3,Cotton Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-french-terry-10,Cotton French Terry,"<p><span>A medium-weight (286 GSM) 100% cotton french terry fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5532,1000,shopify,39,continue,manual,899,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1JrMrfAE4mpnc2hsl-f41ZvZnoUOyF5TZ,1,Cotton French Terry,FALSE,Black Cotton French Terry Fabric | Texongo,42,"Shop 286 GSM 100% cotton french terry fabric in black by Texongo. Soft, breathable and drapey for co-ords, sweatshirts, jumpsuits and premium apparel.",100%-COTTON,286,150,FRENCH TERRY,8.44,BLACK,,COTTON-FRENCH-TERRY,"T-shirt-,-Sweatshirt-,-Jumpsuit-,-Co-ords",72-inches-/-212-cm,7,,,,,,kg,,,active
cotton-french-terry-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1g6prTNSWEWJYMQp5ipYNACt41xrhXJUH,2,Cotton French Terry,,,,,,,,,,,,,,,,,,,,,,,,
cotton-french-terry-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1onHLQ6NwoqByOjrLA8Hi3l9-Z1u59_fb,3,Cotton French Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-interlock-8,Polyester Cotton Interlock,"<p><span>A medium-weight (203 GSM) 60% cotton 40% polyester interlock fabric by Texongo, crafted in a compact interlock knit for enhanced structure and durability. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,TUBE,,TRUE,Title,Default Title,,,,,,,,SCH5533,1000,shopify,10,continue,manual,799,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1rKTUj46fgjcLKM2e0O_iji10beLQhhS5,1,Polyester Cotton Interlock,FALSE,Red Polyester Cotton Interlock Fabric | Texongo,47,"Shop 203 GSM cotton polyester blend interlock fabric in red by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,203,147,INTERLOCK,5.99,RED,,POLY-COTTON-INTERLOCK,"Tops,-Co-ords-,-T-shirt-,-Dresses-,-Jumpsuit",33-inches-/-97-cm,7,,,,,,kg,,,active
polyester-cotton-interlock-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1E8-jHVae2AR4A8j_qBVa0bIYXoKGxcR0,2,Polyester Cotton Interlock,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-interlock-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=15mWqzdHsT_EJUxfw6Ro2sawlPoSO-G4Z,3,Polyester Cotton Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-spandex-fleece,Cotton Spandex Fleece,"<p><span>A medium-weight (275 GSM) 95% cotton 5% spandex fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5534,1000,shopify,9,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1yeE1sk9zUAhdT7he6i7aGVPBb4klzi1v,1,Cotton Spandex Fleece,FALSE,Flower Print Cotton Spandex Fleece | Texongo,44,"Shop 275 GSM cotton spandex blend fleece fabric in flower print by Texongo. Soft and drapey for co-ords, hoodies, sweatshirts and premium apparel.",95%-COTTON-5%-LYCRA,275,146,FLEECE,8.11,FLOWER-PRINT,,COTTON-LYCRA-FLEECE,"Sweatshirt,-Hoodie,-Cargo,-Co-ords,-T--shirt",62-inches-/-182-cm,7,,,,,,kg,,,active
cotton-spandex-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1w9lV24x2o62SXvpRBO34Qnhe7JqdI60Z,2,Cotton Spandex Fleece,,,,,,,,,,,,,,,,,,,,,,,,
cotton-spandex-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1EVoEDzg-sXZ6dU_Nb8duHZNfZY3ooMWB,3,Cotton Spandex Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-interlock-5,Polyester Cotton Jacquard Interlock,"<p><span>A medium-weight (230 GSM) 60% cotton 40% polyester interlock fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5535,1000,shopify,7,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1vrSjGYd10OD_2wS3nWTUW6ijlgxk3-s3,1,Polyester Cotton Jacquard Interlock,FALSE,Poly Cotton Jacquard Interlock Fabric | Texongo,47,"Shop 230 GSM cotton polyester blend interlock fabric in black by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,230,149,INTERLOCK,6.78,BLACK,,POLY-COTTON-JACQUARD-INTERLOCK,"Tops,-Co-ords-,-T-shirt-,-Dresses-,-Jumpsuit",62-inches-/-182-cm,7,,,,,,kg,,,active
polyester-cotton-jacquard-interlock-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1YBcIOplHN9Xo4Y_4hpYqOb2AMwikUCgx,2,Polyester Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-interlock-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1H4J43LoHnlPTmO_Vuh-rqvDJss6Ie8rC,3,Polyester Cotton Jacquard Interlock,,,,,,,,,,,,,,,,,,,,,,,,
cotton-french-terry-24,Cotton French Terry,"<p><span>A medium-weight (435 GSM) 100% cotton french terry fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5536,1000,shopify,20,continue,manual,899,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=15dk6AGradDLSJjOnMLg-hod1FzLe9YpQ,1,Cotton French Terry,FALSE,Black Cotton French Terry Fabric | Texongo,42,"Shop 435 GSM 100% cotton french terry fabric in black by Texongo. Soft, breathable and drapey for hoodies, sweatshirts, cargo and premium apparel.",100%-COTTON,435,146,FRENCH TERRY,12.83,BLACK,,COTTON-FRENCH-TERRY,"Hoodie,-Jogeers,-Cargo,-Sweatshirt-,-T-shirt",72-inches-/-212-cm,7,,,,,,kg,,,active
cotton-french-terry-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1q6vnWt-1xzLMbS_hOrzYedYa1butDIUg,2,Cotton French Terry,,,,,,,,,,,,,,,,,,,,,,,,
cotton-french-terry-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1nVVf9Qe0x8l8Nhzzs-J5iEeqZFCiZKGb,3,Cotton French Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-spandex-rib,Polyester Cotton Spandex Rib,"<p><span>A medium-weight (375 GSM) 57% cotton 38% polyester 5% spandex rib fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5537,1000,shopify,98.5,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1OomdFjk5tI95C6jDCAoHywUjF8yYiBMO,1,Polyester Cotton Spandex Rib,FALSE,Polyester Cotton Spandex Rib Fabric | Texongo,45,"Shop 375 GSM cotton polyester spandex blend rib fabric in black by Texongo. Soft and drapey for tops, dresses, hoodies and premium apparel online.",57%-COTTON-38%-POLY-5%-LYCRA,375,146,RIB,11.06,BLACK,,POLY-COTTON-LYCRA-RIB,"Top-,-Dresses,-Joggers,-Hoodie,-Skirt",54-inches-/-159-cm,7,,,,,,kg,,,active
polyester-cotton-spandex-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1en7ThQAc5GkwoyZbLqZjL8x6hSMynsdH,2,Polyester Cotton Spandex Rib,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-spandex-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1adBhp_B4I68RFBh0P7pX_TEyyvTaaXD1,3,Polyester Cotton Spandex Rib,,,,,,,,,,,,,,,,,,,,,,,,
